FAI_VOL_ID;FAI_EAR_ID;FAI_CRA_ID;FAI_COU_ID;FAI_YEA_NUMBER;FAI_MAGNITUDE;FAI_TSUNAMI;FAI_FATALITIES
2523;303;998;450;2011;6.7;0;21
4987;303;998;450;2011;6.7;0;21
5114;303;998;450;2011;6.7;0;21
2523;303;998;451;2011;6.7;0;21
4987;303;998;451;2011;6.7;0;21
5114;303;998;451;2011;6.7;0;21
2523;303;998;452;2011;6.7;0;21
4987;303;998;452;2011;6.7;0;21
5114;303;998;452;2011;6.7;0;21
2523;303;998;453;2011;6.7;0;21
4987;303;998;453;2011;6.7;0;21
5114;303;998;453;2011;6.7;0;21
2523;303;998;454;2011;6.7;0;21
4987;303;998;454;2011;6.7;0;21
5114;303;998;454;2011;6.7;0;21
2523;303;998;455;2011;6.7;0;21
4987;303;998;455;2011;6.7;0;21
5114;303;998;455;2011;6.7;0;21
2523;303;998;456;2011;6.7;0;21
4987;303;998;456;2011;6.7;0;21
5114;303;998;456;2011;6.7;0;21
2523;303;998;457;2011;6.7;0;21
4987;303;998;457;2011;6.7;0;21
5114;303;998;457;2011;6.7;0;21
2523;303;998;458;2011;6.7;0;21
4987;303;998;458;2011;6.7;0;21
5114;303;998;458;2011;6.7;0;21
2523;303;998;459;2011;6.7;0;21
4987;303;998;459;2011;6.7;0;21
5114;303;998;459;2011;6.7;0;21
2523;303;998;460;2011;6.7;0;21
4987;303;998;460;2011;6.7;0;21
5114;303;998;460;2011;6.7;0;21
2523;303;998;461;2011;6.7;0;21
4987;303;998;461;2011;6.7;0;21
5114;303;998;461;2011;6.7;0;21
2523;303;998;462;2011;6.7;0;21
4987;303;998;462;2011;6.7;0;21
5114;303;998;462;2011;6.7;0;21
2523;303;998;463;2011;6.7;0;21
4987;303;998;463;2011;6.7;0;21
5114;303;998;463;2011;6.7;0;21
2523;303;998;464;2011;6.7;0;21
4987;303;998;464;2011;6.7;0;21
5114;303;998;464;2011;6.7;0;21
2523;303;998;465;2011;6.7;0;21
4987;303;998;465;2011;6.7;0;21
5114;303;998;465;2011;6.7;0;21
2523;303;998;466;2011;6.7;0;21
4987;303;998;466;2011;6.7;0;21
5114;303;998;466;2011;6.7;0;21
2523;303;998;467;2011;6.7;0;21
4987;303;998;467;2011;6.7;0;21
5114;303;998;467;2011;6.7;0;21
2523;303;998;468;2011;6.7;0;21
4987;303;998;468;2011;6.7;0;21
5114;303;998;468;2011;6.7;0;21
2523;303;998;469;2011;6.7;0;21
4987;303;998;469;2011;6.7;0;21
5114;303;998;469;2011;6.7;0;21
2523;303;998;470;2011;6.7;0;21
4987;303;998;470;2011;6.7;0;21
5114;303;998;470;2011;6.7;0;21
2523;303;998;471;2011;6.7;0;21
4987;303;998;471;2011;6.7;0;21
5114;303;998;471;2011;6.7;0;21
2523;303;998;472;2011;6.7;0;21
4987;303;998;472;2011;6.7;0;21
5114;303;998;472;2011;6.7;0;21
2523;303;998;473;2011;6.7;0;21
4987;303;998;473;2011;6.7;0;21
5114;303;998;473;2011;6.7;0;21
2523;303;998;474;2011;6.7;0;21
4987;303;998;474;2011;6.7;0;21
5114;303;998;474;2011;6.7;0;21
2523;303;998;475;2011;6.7;0;21
4987;303;998;475;2011;6.7;0;21
5114;303;998;475;2011;6.7;0;21
2523;303;998;476;2011;6.7;0;21
4987;303;998;476;2011;6.7;0;21
5114;303;998;476;2011;6.7;0;21
2523;303;998;477;2011;6.7;0;21
4987;303;998;477;2011;6.7;0;21
5114;303;998;477;2011;6.7;0;21
2523;303;998;478;2011;6.7;0;21
4987;303;998;478;2011;6.7;0;21
5114;303;998;478;2011;6.7;0;21
2523;303;998;479;2011;6.7;0;21
4987;303;998;479;2011;6.7;0;21
5114;303;998;479;2011;6.7;0;21
2523;303;998;480;2011;6.7;0;21
4987;303;998;480;2011;6.7;0;21
5114;303;998;480;2011;6.7;0;21
2523;303;998;481;2011;6.7;0;21
4987;303;998;481;2011;6.7;0;21
5114;303;998;481;2011;6.7;0;21
2523;303;998;482;2011;6.7;0;21
4987;303;998;482;2011;6.7;0;21
5114;303;998;482;2011;6.7;0;21
2523;303;998;483;2011;6.7;0;21
4987;303;998;483;2011;6.7;0;21
5114;303;998;483;2011;6.7;0;21
2523;303;998;484;2011;6.7;0;21
4987;303;998;484;2011;6.7;0;21
5114;303;998;484;2011;6.7;0;21
2523;303;998;485;2011;6.7;0;21
4987;303;998;485;2011;6.7;0;21
5114;303;998;485;2011;6.7;0;21
2523;303;998;486;2011;6.7;0;21
4987;303;998;486;2011;6.7;0;21
5114;303;998;486;2011;6.7;0;21
2523;303;998;487;2011;6.7;0;21
4987;303;998;487;2011;6.7;0;21
5114;303;998;487;2011;6.7;0;21
2523;303;998;488;2011;6.7;0;21
4987;303;998;488;2011;6.7;0;21
5114;303;998;488;2011;6.7;0;21
2523;303;998;489;2011;6.7;0;21
4987;303;998;489;2011;6.7;0;21
5114;303;998;489;2011;6.7;0;21
2523;303;998;490;2011;6.7;0;21
4987;303;998;490;2011;6.7;0;21
5114;303;998;490;2011;6.7;0;21
2523;303;998;491;2011;6.7;0;21
4987;303;998;491;2011;6.7;0;21
5114;303;998;491;2011;6.7;0;21
2523;303;998;492;2011;6.7;0;21
4987;303;998;492;2011;6.7;0;21
5114;303;998;492;2011;6.7;0;21
2523;303;998;493;2011;6.7;0;21
4987;303;998;493;2011;6.7;0;21
5114;303;998;493;2011;6.7;0;21
2523;303;998;494;2011;6.7;0;21
4987;303;998;494;2011;6.7;0;21
5114;303;998;494;2011;6.7;0;21
2523;303;998;495;2011;6.7;0;21
4987;303;998;495;2011;6.7;0;21
5114;303;998;495;2011;6.7;0;21
2523;303;998;496;2011;6.7;0;21
4987;303;998;496;2011;6.7;0;21
5114;303;998;496;2011;6.7;0;21
2523;303;998;497;2011;6.7;0;21
4987;303;998;497;2011;6.7;0;21
5114;303;998;497;2011;6.7;0;21
2523;303;998;498;2011;6.7;0;21
4987;303;998;498;2011;6.7;0;21
5114;303;998;498;2011;6.7;0;21
2523;303;998;499;2011;6.7;0;21
4987;303;998;499;2011;6.7;0;21
5114;303;998;499;2011;6.7;0;21
2523;303;998;500;2011;6.7;0;21
4987;303;998;500;2011;6.7;0;21
5114;303;998;500;2011;6.7;0;21
2523;303;998;501;2011;6.7;0;21
4987;303;998;501;2011;6.7;0;21
5114;303;998;501;2011;6.7;0;21
2523;303;998;502;2011;6.7;0;21
4987;303;998;502;2011;6.7;0;21
5114;303;998;502;2011;6.7;0;21
2523;303;998;503;2011;6.7;0;21
4987;303;998;503;2011;6.7;0;21
5114;303;998;503;2011;6.7;0;21
2523;303;998;504;2011;6.7;0;21
4987;303;998;504;2011;6.7;0;21
5114;303;998;504;2011;6.7;0;21
2523;303;998;505;2011;6.7;0;21
4987;303;998;505;2011;6.7;0;21
5114;303;998;505;2011;6.7;0;21
2523;303;998;506;2011;6.7;0;21
4987;303;998;506;2011;6.7;0;21
5114;303;998;506;2011;6.7;0;21
2523;303;998;507;2011;6.7;0;21
4987;303;998;507;2011;6.7;0;21
5114;303;998;507;2011;6.7;0;21
2523;303;998;508;2011;6.7;0;21
4987;303;998;508;2011;6.7;0;21
5114;303;998;508;2011;6.7;0;21
2523;303;998;509;2011;6.7;0;21
4987;303;998;509;2011;6.7;0;21
5114;303;998;509;2011;6.7;0;21
2523;303;998;510;2011;6.7;0;21
4987;303;998;510;2011;6.7;0;21
5114;303;998;510;2011;6.7;0;21
2523;303;998;511;2011;6.7;0;21
4987;303;998;511;2011;6.7;0;21
5114;303;998;511;2011;6.7;0;21
2523;303;998;512;2011;6.7;0;21
4987;303;998;512;2011;6.7;0;21
5114;303;998;512;2011;6.7;0;21
2523;303;998;513;2011;6.7;0;21
4987;303;998;513;2011;6.7;0;21
5114;303;998;513;2011;6.7;0;21
2523;303;998;514;2011;6.7;0;21
4987;303;998;514;2011;6.7;0;21
5114;303;998;514;2011;6.7;0;21
2523;303;998;515;2011;6.7;0;21
4987;303;998;515;2011;6.7;0;21
5114;303;998;515;2011;6.7;0;21
2523;303;998;516;2011;6.7;0;21
4987;303;998;516;2011;6.7;0;21
5114;303;998;516;2011;6.7;0;21
2523;303;998;517;2011;6.7;0;21
4987;303;998;517;2011;6.7;0;21
5114;303;998;517;2011;6.7;0;21
2523;303;998;518;2011;6.7;0;21
4987;303;998;518;2011;6.7;0;21
5114;303;998;518;2011;6.7;0;21
2523;303;998;519;2011;6.7;0;21
4987;303;998;519;2011;6.7;0;21
5114;303;998;519;2011;6.7;0;21
2523;303;998;520;2011;6.7;0;21
4987;303;998;520;2011;6.7;0;21
5114;303;998;520;2011;6.7;0;21
2523;303;998;521;2011;6.7;0;21
4987;303;998;521;2011;6.7;0;21
5114;303;998;521;2011;6.7;0;21
2523;303;998;522;2011;6.7;0;21
4987;303;998;522;2011;6.7;0;21
5114;303;998;522;2011;6.7;0;21
2523;303;998;523;2011;6.7;0;21
4987;303;998;523;2011;6.7;0;21
5114;303;998;523;2011;6.7;0;21
2523;303;998;524;2011;6.7;0;21
4987;303;998;524;2011;6.7;0;21
5114;303;998;524;2011;6.7;0;21
2523;303;998;525;2011;6.7;0;21
4987;303;998;525;2011;6.7;0;21
5114;303;998;525;2011;6.7;0;21
2523;303;998;526;2011;6.7;0;21
4987;303;998;526;2011;6.7;0;21
5114;303;998;526;2011;6.7;0;21
2523;303;998;527;2011;6.7;0;21
4987;303;998;527;2011;6.7;0;21
5114;303;998;527;2011;6.7;0;21
2523;303;998;528;2011;6.7;0;21
4987;303;998;528;2011;6.7;0;21
5114;303;998;528;2011;6.7;0;21
2523;303;998;529;2011;6.7;0;21
4987;303;998;529;2011;6.7;0;21
5114;303;998;529;2011;6.7;0;21
2523;303;998;530;2011;6.7;0;21
4987;303;998;530;2011;6.7;0;21
5114;303;998;530;2011;6.7;0;21
2523;303;998;531;2011;6.7;0;21
4987;303;998;531;2011;6.7;0;21
5114;303;998;531;2011;6.7;0;21
2523;303;998;532;2011;6.7;0;21
4987;303;998;532;2011;6.7;0;21
5114;303;998;532;2011;6.7;0;21
2523;303;998;533;2011;6.7;0;21
4987;303;998;533;2011;6.7;0;21
5114;303;998;533;2011;6.7;0;21
2523;303;998;534;2011;6.7;0;21
4987;303;998;534;2011;6.7;0;21
5114;303;998;534;2011;6.7;0;21
2523;303;998;535;2011;6.7;0;21
4987;303;998;535;2011;6.7;0;21
5114;303;998;535;2011;6.7;0;21
2523;303;998;536;2011;6.7;0;21
4987;303;998;536;2011;6.7;0;21
5114;303;998;536;2011;6.7;0;21
2523;303;998;537;2011;6.7;0;21
4987;303;998;537;2011;6.7;0;21
5114;303;998;537;2011;6.7;0;21
2523;303;998;538;2011;6.7;0;21
4987;303;998;538;2011;6.7;0;21
5114;303;998;538;2011;6.7;0;21
2523;303;998;539;2011;6.7;0;21
4987;303;998;539;2011;6.7;0;21
5114;303;998;539;2011;6.7;0;21
2523;303;998;540;2011;6.7;0;21
4987;303;998;540;2011;6.7;0;21
5114;303;998;540;2011;6.7;0;21
2523;303;998;541;2011;6.7;0;21
4987;303;998;541;2011;6.7;0;21
5114;303;998;541;2011;6.7;0;21
2523;303;998;542;2011;6.7;0;21
4987;303;998;542;2011;6.7;0;21
5114;303;998;542;2011;6.7;0;21
2523;303;998;543;2011;6.7;0;21
4987;303;998;543;2011;6.7;0;21
5114;303;998;543;2011;6.7;0;21
2523;303;998;544;2011;6.7;0;21
4987;303;998;544;2011;6.7;0;21
5114;303;998;544;2011;6.7;0;21
2523;303;998;545;2011;6.7;0;21
4987;303;998;545;2011;6.7;0;21
5114;303;998;545;2011;6.7;0;21
2523;303;998;546;2011;6.7;0;21
4987;303;998;546;2011;6.7;0;21
5114;303;998;546;2011;6.7;0;21
2523;303;998;547;2011;6.7;0;21
4987;303;998;547;2011;6.7;0;21
5114;303;998;547;2011;6.7;0;21
2523;303;998;548;2011;6.7;0;21
4987;303;998;548;2011;6.7;0;21
5114;303;998;548;2011;6.7;0;21
2523;303;998;549;2011;6.7;0;21
4987;303;998;549;2011;6.7;0;21
5114;303;998;549;2011;6.7;0;21
2523;303;998;550;2011;6.7;0;21
4987;303;998;550;2011;6.7;0;21
5114;303;998;550;2011;6.7;0;21
2523;303;998;551;2011;6.7;0;21
4987;303;998;551;2011;6.7;0;21
5114;303;998;551;2011;6.7;0;21
2523;303;998;552;2011;6.7;0;21
4987;303;998;552;2011;6.7;0;21
5114;303;998;552;2011;6.7;0;21
2523;303;998;553;2011;6.7;0;21
4987;303;998;553;2011;6.7;0;21
5114;303;998;553;2011;6.7;0;21
2523;303;998;554;2011;6.7;0;21
4987;303;998;554;2011;6.7;0;21
5114;303;998;554;2011;6.7;0;21
2523;303;998;555;2011;6.7;0;21
4987;303;998;555;2011;6.7;0;21
5114;303;998;555;2011;6.7;0;21
2523;303;998;556;2011;6.7;0;21
4987;303;998;556;2011;6.7;0;21
5114;303;998;556;2011;6.7;0;21
2523;303;998;557;2011;6.7;0;21
4987;303;998;557;2011;6.7;0;21
5114;303;998;557;2011;6.7;0;21
2523;303;998;558;2011;6.7;0;21
4987;303;998;558;2011;6.7;0;21
5114;303;998;558;2011;6.7;0;21
2523;303;998;559;2011;6.7;0;21
4987;303;998;559;2011;6.7;0;21
5114;303;998;559;2011;6.7;0;21
2523;303;998;560;2011;6.7;0;21
4987;303;998;560;2011;6.7;0;21
5114;303;998;560;2011;6.7;0;21
2523;303;998;561;2011;6.7;0;21
4987;303;998;561;2011;6.7;0;21
5114;303;998;561;2011;6.7;0;21
2523;303;998;562;2011;6.7;0;21
4987;303;998;562;2011;6.7;0;21
5114;303;998;562;2011;6.7;0;21
2523;303;998;563;2011;6.7;0;21
4987;303;998;563;2011;6.7;0;21
5114;303;998;563;2011;6.7;0;21
2523;303;998;564;2011;6.7;0;21
4987;303;998;564;2011;6.7;0;21
5114;303;998;564;2011;6.7;0;21
2523;303;998;565;2011;6.7;0;21
4987;303;998;565;2011;6.7;0;21
5114;303;998;565;2011;6.7;0;21
2523;303;998;566;2011;6.7;0;21
4987;303;998;566;2011;6.7;0;21
5114;303;998;566;2011;6.7;0;21
2523;303;998;567;2011;6.7;0;21
4987;303;998;567;2011;6.7;0;21
5114;303;998;567;2011;6.7;0;21
2523;303;998;568;2011;6.7;0;21
4987;303;998;568;2011;6.7;0;21
5114;303;998;568;2011;6.7;0;21
2523;303;998;569;2011;6.7;0;21
4987;303;998;569;2011;6.7;0;21
5114;303;998;569;2011;6.7;0;21
2523;303;998;570;2011;6.7;0;21
4987;303;998;570;2011;6.7;0;21
5114;303;998;570;2011;6.7;0;21
2523;303;998;571;2011;6.7;0;21
4987;303;998;571;2011;6.7;0;21
5114;303;998;571;2011;6.7;0;21
2523;303;998;572;2011;6.7;0;21
4987;303;998;572;2011;6.7;0;21
5114;303;998;572;2011;6.7;0;21
2523;303;998;573;2011;6.7;0;21
4987;303;998;573;2011;6.7;0;21
5114;303;998;573;2011;6.7;0;21
2523;303;998;574;2011;6.7;0;21
4987;303;998;574;2011;6.7;0;21
5114;303;998;574;2011;6.7;0;21
2523;303;998;575;2011;6.7;0;21
4987;303;998;575;2011;6.7;0;21
5114;303;998;575;2011;6.7;0;21
2523;303;998;576;2011;6.7;0;21
4987;303;998;576;2011;6.7;0;21
5114;303;998;576;2011;6.7;0;21
2523;303;998;577;2011;6.7;0;21
4987;303;998;577;2011;6.7;0;21
5114;303;998;577;2011;6.7;0;21
2523;303;998;578;2011;6.7;0;21
4987;303;998;578;2011;6.7;0;21
5114;303;998;578;2011;6.7;0;21
2523;303;998;579;2011;6.7;0;21
4987;303;998;579;2011;6.7;0;21
5114;303;998;579;2011;6.7;0;21
2523;303;998;580;2011;6.7;0;21
4987;303;998;580;2011;6.7;0;21
5114;303;998;580;2011;6.7;0;21
2523;303;998;581;2011;6.7;0;21
4987;303;998;581;2011;6.7;0;21
5114;303;998;581;2011;6.7;0;21
2523;303;998;582;2011;6.7;0;21
4987;303;998;582;2011;6.7;0;21
5114;303;998;582;2011;6.7;0;21
2523;303;998;583;2011;6.7;0;21
4987;303;998;583;2011;6.7;0;21
5114;303;998;583;2011;6.7;0;21
2523;303;998;584;2011;6.7;0;21
4987;303;998;584;2011;6.7;0;21
5114;303;998;584;2011;6.7;0;21
2523;303;998;585;2011;6.7;0;21
4987;303;998;585;2011;6.7;0;21
5114;303;998;585;2011;6.7;0;21
2523;303;998;586;2011;6.7;0;21
4987;303;998;586;2011;6.7;0;21
5114;303;998;586;2011;6.7;0;21
2523;303;998;587;2011;6.7;0;21
4987;303;998;587;2011;6.7;0;21
5114;303;998;587;2011;6.7;0;21
2523;303;998;588;2011;6.7;0;21
4987;303;998;588;2011;6.7;0;21
5114;303;998;588;2011;6.7;0;21
2523;303;998;589;2011;6.7;0;21
4987;303;998;589;2011;6.7;0;21
5114;303;998;589;2011;6.7;0;21
2523;303;998;590;2011;6.7;0;21
4987;303;998;590;2011;6.7;0;21
5114;303;998;590;2011;6.7;0;21
2523;303;998;591;2011;6.7;0;21
4987;303;998;591;2011;6.7;0;21
5114;303;998;591;2011;6.7;0;21
2523;303;998;592;2011;6.7;0;21
4987;303;998;592;2011;6.7;0;21
5114;303;998;592;2011;6.7;0;21
2523;303;998;593;2011;6.7;0;21
4987;303;998;593;2011;6.7;0;21
5114;303;998;593;2011;6.7;0;21
2523;303;998;594;2011;6.7;0;21
4987;303;998;594;2011;6.7;0;21
5114;303;998;594;2011;6.7;0;21
2523;303;998;595;2011;6.7;0;21
4987;303;998;595;2011;6.7;0;21
5114;303;998;595;2011;6.7;0;21
2523;303;998;596;2011;6.7;0;21
4987;303;998;596;2011;6.7;0;21
5114;303;998;596;2011;6.7;0;21
2523;303;998;597;2011;6.7;0;21
4987;303;998;597;2011;6.7;0;21
5114;303;998;597;2011;6.7;0;21
2523;303;998;598;2011;6.7;0;21
4987;303;998;598;2011;6.7;0;21
5114;303;998;598;2011;6.7;0;21
2523;303;998;599;2011;6.7;0;21
4987;303;998;599;2011;6.7;0;21
5114;303;998;599;2011;6.7;0;21
2523;303;998;600;2011;6.7;0;21
4987;303;998;600;2011;6.7;0;21
5114;303;998;600;2011;6.7;0;21
2523;303;998;601;2011;6.7;0;21
4987;303;998;601;2011;6.7;0;21
5114;303;998;601;2011;6.7;0;21
2523;303;998;602;2011;6.7;0;21
4987;303;998;602;2011;6.7;0;21
5114;303;998;602;2011;6.7;0;21
2523;303;998;603;2011;6.7;0;21
4987;303;998;603;2011;6.7;0;21
5114;303;998;603;2011;6.7;0;21
2523;303;998;604;2011;6.7;0;21
4987;303;998;604;2011;6.7;0;21
5114;303;998;604;2011;6.7;0;21
2523;303;998;605;2011;6.7;0;21
4987;303;998;605;2011;6.7;0;21
5114;303;998;605;2011;6.7;0;21
2523;303;998;606;2011;6.7;0;21
4987;303;998;606;2011;6.7;0;21
5114;303;998;606;2011;6.7;0;21
2523;303;998;607;2011;6.7;0;21
4987;303;998;607;2011;6.7;0;21
5114;303;998;607;2011;6.7;0;21
2523;303;998;608;2011;6.7;0;21
4987;303;998;608;2011;6.7;0;21
5114;303;998;608;2011;6.7;0;21
2523;303;998;609;2011;6.7;0;21
4987;303;998;609;2011;6.7;0;21
5114;303;998;609;2011;6.7;0;21
2523;303;998;610;2011;6.7;0;21
4987;303;998;610;2011;6.7;0;21
5114;303;998;610;2011;6.7;0;21
2523;303;998;611;2011;6.7;0;21
4987;303;998;611;2011;6.7;0;21
5114;303;998;611;2011;6.7;0;21
2523;303;998;612;2011;6.7;0;21
4987;303;998;612;2011;6.7;0;21
5114;303;998;612;2011;6.7;0;21
2523;303;998;613;2011;6.7;0;21
4987;303;998;613;2011;6.7;0;21
5114;303;998;613;2011;6.7;0;21
2523;303;998;614;2011;6.7;0;21
4987;303;998;614;2011;6.7;0;21
5114;303;998;614;2011;6.7;0;21
2523;303;998;615;2011;6.7;0;21
4987;303;998;615;2011;6.7;0;21
5114;303;998;615;2011;6.7;0;21
